ID,Horario da jogada,Nome do player,Tempo desde do último movimento do jogador,Duração da jogada,Grupo,Peça UID,Peça Cor,Casos ID,Tipo da jogada
1,17:43:00,Augusto,7.31s,0.09s,sem grupo,44,brown,{9},Jogada
2,17:43:05,Carla Verônica,12.44s,1.32s,sem grupo,6,black,"{38, 1, 9}",Jogada
3,17:43:10,Carla Verônica,4.78s,1.90s,grupo: 5 Carla Verônica,5,light_blue,"{9, 2, 12}",Jogada
4,17:43:12,Augusto,12.35s,5.79s,sem grupo,44,brown,"{38, 1, 17}",Jogada
5,17:43:12,Carla Verônica,2.74s,1.22s,grupo: 5 Carla Verônica,3,light_blue,"{9, 3, 12}",Jogada
6,17:43:15,Carla Verônica,2.53s,1.45s,grupo: 5 Carla Verônica,17,light_blue,"{9, 3, 12}",Jogada
7,17:43:17,Carla Verônica,2.06s,1.14s,grupo: 5 Carla Verônica,6,black,"{9, 3, 12, 17}",Jogada
8,17:43:20,Carla Verônica,2.78s,1.25s,grupo: 5 Carla Verônica,4,light_blue,"{9, 3, 12}",Jogada
9,17:43:22,Carla Verônica,2.35s,1.10s,grupo: 5 Carla Verônica,21,light_blue,"{9, 3, 12}",Jogada
10,17:43:24,Carla Verônica,2.29s,1.14s,grupo: 5 Carla Verônica,9,red,"{9, 4, 13}",Jogada
11,17:43:28,Carla Verônica,3.15s,1.16s,grupo: 5 Carla Verônica,26,green,"{9, 4, 13}",Jogada
12,17:43:31,Carla Verônica,3.40s,2.14s,grupo: 5 Carla Verônica,22,red,"{9, 4, 13}",Jogada
13,17:43:34,Carla Verônica,2.48s,1.06s,grupo: 5 Carla Verônica,34,red,"{9, 4, 13}",Jogada
14,17:43:38,Carla Verônica,4.75s,1.48s,grupo: 5 Carla Verônica,35,red,"{9, 4, 13}",Jogada
15,17:43:41,Carla Verônica,2.58s,1.22s,grupo: 5 Carla Verônica,311,red,"{9, 4, 13}",Jogada
16,17:43:55,Augusto,43.09s,0.12s,sem grupo,28,brown,"{9, 38}",Jogada
17,17:44:02,Augusto,6.30s,5.23s,grupo: 5 Carla Verônica,28,brown,"{4, 8, 13, 17, 26}",Jogada
18,17:44:08,Augusto,6.66s,0.12s,sem grupo,29,brown,{9},Jogada
19,17:44:12,Augusto,3.48s,2.90s,grupo: 5 Carla Verônica,29,brown,"{4, 8, 9, 13, 17, 26}",Jogada
20,17:44:14,Augusto,2.59s,0.15s,sem grupo,45,brown,{9},Jogada
21,17:44:19,Augusto,4.64s,4.04s,grupo: 5 Carla Verônica,45,brown,"{4, 8, 13, 17, 26}",Jogada
22,17:44:21,Augusto,2.38s,0.17s,sem grupo,319,brown,{9},Jogada
23,17:44:25,Augusto,3.66s,2.94s,grupo: 5 Carla Verônica,319,brown,"{4, 8, 9, 13, 17, 26}",Jogada
24,17:44:46,Augusto,21.05s,2.79s,grupo: 5 Carla Verônica,315,brown,"{4, 38, 9, 13, 26}",Jogada
25,17:44:47,Carla Verônica,66.17s,1.75s,grupo: 5 Carla Verônica,328,brown,"{4, 6, 38, 9, 13, 26, 27}",Jogada
26,17:44:55,Augusto,9.04s,0.14s,grupo: 5 Carla Verônica,22,red,"{4, 5, 36, 9, 13, 26}",Jogada
27,17:44:56,Carla Verônica,9.12s,1.90s,grupo: 5 Carla Verônica,328,brown,"{4, 37, 6, 36, 9, 13, 17, 26, 27}",Jogada
28,17:44:58,Augusto,2.89s,2.32s,grupo: 5 Carla Verônica,22,red,"{4, 5, 37, 36, 9, 13, 17, 26}",Jogada
29,17:46:16,Augusto,78.39s,0.13s,sem grupo,344,brown,"{9, 38}",Jogada
30,17:46:19,Augusto,2.79s,2.21s,grupo: 5 Carla Verônica,344,brown,"{4, 8, 9, 13, 17, 26}",Jogada
31,17:46:22,Carla Verônica,N/A,-209.88s,N/A,N/A,N/A,"{32, 33, 37, 6, 27}",Finalizacao
32,17:46:24,Augusto,N/A,-211.58s,N/A,N/A,N/A,"{32, 33, 34}",Finalizacao
